OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
98999,GO-20162302992,12/29/2016 5:00:00 AM,12/27/2016 5:00:00 AM,2016,December,29,364,Thursday  ,12,2016.0,December,27.0,362.0,Tuesday   ,5,D41,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,138,Eglinton East (138),138,Eglinton East (138),-79.2587780253886,43.7360490814447,-8823046.8106401,5424685.61746782
242317,GO-20202085489,11/3/2020 5:00:00 AM,11/3/2020 5:00:00 AM,2020,November,3,308,Tuesday   ,12,2020.0,November,3.0,308.0,Tuesday   ,12,D43,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,123,Cliffcrest (123),123,Cliffcrest (123),-79.2324867437793,43.7252037920315,-8820120.07862687,5423014.85103591
155806,GO-20181404578,8/1/2018 4:00:00 AM,8/1/2018 4:00:00 AM,2018,August,1,213,Wednesday ,0,2018.0,August,1.0,213.0,Wednesday ,0,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,123,Cliffcrest (123),123,Cliffcrest (123),-79.2414583290726,43.7208766946761,-8821118.79090068,5422348.32634982
279020,GO-20212263667,11/24/2021 5:00:00 AM,11/24/2021 5:00:00 AM,2021,November,24,328,Wednesday ,6,2021.0,November,24.0,328.0,Wednesday ,6,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.572175285625,43.6813382024163,-8857934.03415062,5416260.23994203
181733,GO-2019632453,4/8/2019 4:00:00 AM,4/8/2019 4:00:00 AM,2019,April,8,98,Monday    ,13,2019.0,April,8.0,98.0,Monday    ,13,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3964197568147,43.6973751312589,-8838369.01815824,5418729.10173733
174090,GO-2019138076,1/22/2019 5:00:00 AM,1/22/2019 5:00:00 AM,2019,January,22,22,Tuesday   ,19,2019.0,January,22.0,22.0,Tuesday   ,11,D41,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.3082928728582,43.7594919220769,-8828558.77830616,5428298.12876023
115046,GO-20171104629,6/21/2017 4:00:00 AM,6/21/2017 4:00:00 AM,2017,June,21,172,Wednesday ,2,2017.0,June,21.0,172.0,Wednesday ,2,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,083,Dufferin Grove (83),083,Dufferin Grove (83),-79.438778320406,43.6513308010258,-8843084.35182214,5411642.41640359
92736,GO-20161876820,10/22/2016 4:00:00 AM,10/22/2016 4:00:00 AM,2016,October,22,296,Saturday  ,4,2016.0,October,22.0,296.0,Saturday  ,1,D52,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3922626405787,43.6562684955217,-8837906.25012195,5412402.11710677
29669,GO-20143379425,11/27/2014 5:00:00 AM,11/18/2014 5:00:00 AM,2014,November,27,331,Thursday  ,12,2014.0,November,18.0,322.0,Tuesday   ,15,D32,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.4451530137916,43.7861505897175,-8843793.97951218,5432407.91522321
370981,GO-20232824307,12/8/2023 5:00:00 AM,12/8/2023 5:00:00 AM,2023,December,8,342,Friday    ,11,2023.0,December,8.0,342.0,Friday    ,11,D51,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,1430,100,Assault,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3776127479981,43.6545603936641,-8836275.43149302,5412139.30598058
